url,price,title
https://www.olx.in/item/iphone5s-16gb-ID1jJLtR.html,9500,IPhone5s 16gb
https://www.olx.in/item/iphone-6s-64gb-with-new-charger-and-new-head-set-ID1jJLpz.html,25000,IPhone 6s 64gb with new charger and new head set
https://www.olx.in/item/note-5-pro-gold-ID1jJLp9.html,15500,Note 5 pro Gold
https://www.olx.in/item/mi-a1-3-month-old-charger-and-bill-box-no-ID1jJLpJ.html,11000,Mi A1 3 month old Charger and bill box no
https://www.olx.in/item/4-months-old-iphone-se-32gb-gold-scratch-less-ID1jJLoZ.html,16000,4 months old iPhone SE 32gb gold Scratch less
https://www.olx.in/item/all-sscci-box-bil-chargar-7-mahine-old-a-1-ID1jb2on.html,11500,All sscci box bil chargar 7 mahine old ..a 1
https://www.olx.in/item/3g-micromax-phone-ID1jJLqf.html,2000,3g Micromax phone
https://www.olx.in/item/i-want-sell-my-moto-x4-2-5-month-use-brand-new-ID1jJLqB.html,17000,I want sell my Moto x4 2.5 month use brand new
https://www.olx.in/item/mi-note-3-32gb-ID1jJLqw.html,6500,Mi note 3 32gb
https://www.olx.in/item/samsung-j5-priem-5-day-ush-ha-ID1jJLqN.html,11000,Samsung j5 priem 5 day ush ha
https://www.olx.in/item/with-charger-nd-headphone-nd-bill-only-11-months-use-ID1jJLqD.html,10000,With charger nd headphone nd bill Only 11 months use
https://www.olx.in/item/mi-redmi-note-4-gold-8-months-old-best-condition-ID1jJLpn.html,8600,Mi Redmi Note 4 GOLD 8 Months old Best Condition
https://www.olx.in/item/samsung-j7max-only-3day-seal-argant-monuy-problem-ID1jJLrd.html,14000,Samsung j7max only 3day seal argant monuy problem
https://www.olx.in/item/redmi-4a-in-brand-new-condition-12-months-old-ID1jJLnb.html,4500,Redmi 4a in brand new condition 12 months old
https://www.olx.in/item/ram-2gb-interval-16gb-only-5-month-huge-ID1jJLrp.html,6000,Ram 2gb interval 16gb only 5 month huge
https://www.olx.in/item/coolpad-cool-play-6-gold-6gb-ram-64-gb-internal-ID1jJLmN.html,8500,Coolpad cool play 6 Gold 6GB RAM 64 GB internal
https://www.olx.in/item/redmi-note-3g-2-gb-ram-13-mp-camera-5-5-screen-ID1jyCPF.html,3000,Redmi note 3g 2 gb ram 13 mp camera 5.5 screen
https://www.olx.in/item/good-candishan1-x-16-gb-inbild-sim-do-chp-allso-only-bill-rs-19000-do-ID1jJLn5.html,6400,Good candishan1+x 16 GB inbild sim do CHP allso only bill rs 19000 do
https://www.olx.in/item/vivo-y55l-1-year-old-bill-box-charger-and-earphone-ID1jJLq5.html,8000,Vivo y55L 1 year old bill box charger and earphone
https://www.olx.in/item/khora-kalony-ID1jJLqF.html,1600,Khora kalony
https://www.olx.in/item/iphone-6-gold-coller-32-gb-a-one-condition-ID1jJLoB.html,21000,"IPhone 6 gold Coller, 32 gb. A- one condition."
https://www.olx.in/item/well-phone-need-a-money-ID1jJLnH.html,700,Well phone need a money
https://www.olx.in/item/vivo-y21l-11-months-old-4g-volte-awesome-ID1jJLoF.html,5500,"Vivo y21l 11 months old, 4g volte, Awesome"
https://www.olx.in/item/good-condition-one-hand-use-phone-ID1juOET.html,13000,Good condition one hand use phone
https://www.olx.in/item/iphone-5s-16-gb-gold-with-box-never-repaired-very-ID1jJLrz.html,7499,IPhone 5s 16 GB GOLD with Box Never Repaired Very
https://www.olx.in/item/nokia-1600-in-good-condition-ID1jJLof.html,950,Nokia 1600 in good condition
https://www.olx.in/item/mi-note-4-full-kit-3gb-ram-32gb-rom-good-condition-ID1jJLrB.html,7500,Mi note 4 full kit 3gb ram 32gb Rom good condition
https://www.olx.in/item/i-want-sell-my-oneplus-5t-only-two-day-use-all-ID1jJLoR.html,32000,I want sell my oneplus 5t only two day use All
https://www.olx.in/item/moto-g2-3g-phone-h-good-looking-ID1jJLsb.html,2500,(Moto G2) 3G phone h Good looking
https://www.olx.in/item/1gp-ram-1year-and-3g-phon-ID1jJLrF.html,2700,1gp ram 1year and 3g phon
https://www.olx.in/item/one-time-use-ID1jJLs1.html,6000,One time use
https://www.olx.in/item/urjent-sale-3g-phon-good-condishan-ID1jJLsp.html,3000,Urjent sale 3g phon good condishan
https://www.olx.in/item/samsung-s6-edge-32-gb-3-gb-ram-neat-clean-ID1jJLsn.html,15500,Samsung s6 edge 32 gb 3 gb ram NEAT& CLEAN
https://www.olx.in/item/hello-i-want-to-sell-my-apple-iphone-6s-plus-32-ID1jJLsJ.html,17500,Hello I want to sell my Apple iPhone 6s plus 32
https://www.olx.in/item/iphone-5s-16gb-box-available-ni-scretch-nice-ID1jhfGr.html,11999,Iphone 5s 16gb Box available Ni scretch Nice
https://www.olx.in/item/oppo-a57-6months-old-with-bill-charger-handfree-ID1jJLt3.html,10500,Oppo a57 6months old with bill charger handfree
https://www.olx.in/item/moto-g4-plus-all-condition-ok-all-accessories-ID1jJLtr.html,10500,Moto G4 Plus-all condition ok all accessories
https://www.olx.in/item/oppo-f1s-6-month-old-ID1jJLsl.html,14000,Oppo f1s 6 month old
https://www.olx.in/item/letv-le-max-2-back-camera-21mp-front-mp8-4k-ID1jJLtj.html,1000,LeTv le Max 2. back camera 21mp front mp8 4k
https://www.olx.in/item/lenovo-z2-plus-ka-exchanges-pamme-ID1jJLuw.html,7800,Lenovo z2 plus ka exchanges pamme
https://www.olx.in/item/its-a-lyf-wind-1-4g-volte-with-awesome-condition-ID1jJLt1.html,1200,Its a lyf wind 1 4g volte with awesome condition
https://www.olx.in/item/oppo-f5youth-3gp-ram-32gp-internal-storage-bill-and-charger-with-box-ID1jJLtx.html,15555,"Oppo f5youth 3gp ram, 32gp internal storage. Bill and charger with box"
https://www.olx.in/item/redmi-note-5-pro-4gb-black-seal-pack-with-ID1jJLw1.html,15700,Redmi note 5 pro 4gb Black seal pack with
https://www.olx.in/item/samsumg-note-4-good-condition-ID1jJLs7.html,8000,Samsumg note 4 Good condition
https://www.olx.in/item/i-phone-6-16-gb-condition-no-1-fingerprint-not-ID1jJLwf.html,14000,I phone 6 16 gb condition no.1 Fingerprint not
https://www.olx.in/item/good-new-condition-lenevo-k5-4g-phone-ID1jJLwb.html,4500,Good new condition lenevo k5 4g phone
https://www.olx.in/item/want-urgent-money-plz-contact-soon-ID1jJLwD.html,3500,Want urgent money plz contact soon
https://www.olx.in/item/my-new-mobile-for-sale-at-gud-condition-with-all-ID1jJLw3.html,7999,My new mobile for sale at gud condition with all
https://www.olx.in/item/three-months-warranty-left-ID1jJLwF.html,19000,Three months warranty left...
https://www.olx.in/item/6-month-old-all-accesoseris-bill-box-available-ID1jJLvb.html,4500,6 month old all accesoseris bill box available
