"RESTURANT, INDIA",ADDRESS,Phone-Number
El Campanario Restaurant,"44185 Monroe StIndio, CA 92201",(760) 342-3681
Marios Italian Cafe,"49906 Jefferson St # A140Indio, CA 92201",(760) 777-4055
Rosamarillo's Restaurant,"49990 Jefferson St Ste 120Indio, CA 92201",(760) 777-1175
Denny's,"82120 Us Highway 111Indio, CA 92201",(760) 342-4114
China Bistro,"45765 Towne StIndio, CA 92201",(760) 342-7288
Mulan Chinese Restaurant,"82005 Us Highway 111Indio, CA 92201",(760) 347-9045
Mexico Tipico Restaurant,"82485 Indio BlvdIndio, CA 92201",(760) 347-5710
Sizzler,"81760 Us Highway 111Indio, CA 92201",(760) 347-6116
Pho of the desert,"82128 us highway 111Indio, CA 92201",(760) 775-1500
Wok Around,"81599 Us Highway 111Indio, CA 92201",(760) 342-9055
Kowloon Chinese Restaurant,"44221 Jackson StIndio, CA 92201",(760) 347-2552
Taqueria Allende,"82915 Avenue 44Indio, CA 92201",(760) 342-0194
Teddys No 2,"81944 Us Highway 111 Ste CIndio, CA 92201",(760) 347-9999
Sloan's Restaurant,"81539 Us Highway 111Indio, CA 92201",(760) 347-3923
Shakey's Pizza Parlor,"82530 Us Highway 111Indio, CA 92201",(760) 347-8100
Macario's Grill,"80783 Indio BlvdIndio, CA 92201",(760) 342-5649
IHOP,"42150 Jackson St Bldg DIndio, CA 92203",(760) 262-7025
Applebee's,"82894 Us Highway 111Indio, CA 92201",(760) 342-4149
Golden Dragon,"81944 Us Highway 111Indio, CA 92201",(760) 775-9888
Fantasy Lanes,"84245 Indio Springs DrIndio, CA 92203",(760) 342-5000
WaBa Grill,"42250 Jackson StIndio, CA 92203",(760) 347-9783
CJ's Stir it up Mongolian Grill,"42150 Jackson St ,Bldg. EIndio, CA 92203",(760) 347-4333
Marios Italian Cafe,"83025 Us Highway 111Indio, CA 92201",(760) 775-2888
Taqueria Y Mariscos Huerta,"44216 Jackson StIndio, CA 92201",(760) 347-7674
Milestones,"82485 Miles AveIndio, CA 92201",(760) 347-4347
Notcho Mamas Bbq & Soul Food Catering,"44911 Golf Center PkwyIndio, CA 92201",(760) 490-0599
I Love Sushi,"82451 Us Highway 111Indio, CA 92201",(760) 296-3640
China Jo's,"82280 US Highway 111Indio, CA 92201",(760) 342-1888
